ID_SSMPD,sites,latitude,longitude,elevation
2,Akert,55.722412,13.523678,61
5,Alestad A,55.719898,13.719322,107
8,Alestad B,55.719898,13.719322,107
122,Alvena,57.610221,18.643962,24
36,Arno,58.975792,17.131513,36
75,Backakra,55.445596,14.13438,30
89,Baldringe,55.531873,13.839669,50
76,Boarp,56.565372000000004,12.810691,0
11,Bokesjon,55.575661,13.437382,64
12,Borgahage,56.85344,16.627282,32
13,Bredasund,56.144443,15.32905,-2
74,Brosarp,55.72604,14.10094,40
57,Brunnsbo,58.27,13.68,201
79,Dagshog,56.48464,12.661719,0
7,Dalby,55.665734,13.3473,75
103,Drakamolla,55.849858,14.131357,23
83,Eneskar,56.129042,15.803276,26
29,Eneskar-Hallarum,56.141958,15.79803,0
16,Fjallfotasjon,55.530185,13.303796,51
84,Frosslunda,56.515445,16.42215,19
113,Gorslovsan,56.19174,12.623968,1
54,Graborg,56.680628,16.604751,33
114,Hallands Vadero,56.442817,12.561628,10
43,Hallstad A,58.313168,15.652975,119
63,Hallstad B,58.313168,15.652975,119
123,Hammarsange,57.78796,18.794458,18
111,Hammarsranna,55.397458,14.036702,2
50,Haslov A,55.439261,13.044929,9
107,Haslov B,55.439261,13.044929,9
108,Hasslo,56.111397,15.461529,5
23,Hjallarod A,56.046025,13.557404,117
81,Hjallarod B,56.046025,13.557404,117
47,Hogestads mosse,55.509739,13.844586,44
24,Holma,55.57303,12.985967,16
17,Horby falad,55.859726,13.648409,85
109,Horjel Am,55.595548,13.915405,73
117,Horjel Bb,55.595548,13.915405,73
110,Horjel C,55.595548,13.915405,73
49,Hyby,55.58158,13.258778,35
60,Ideboas,57.097714,15.672859,178
73,Idholm,56.153702,15.743671,2
102,Ire Am,56.376642,14.844425,124
101,Ire B,56.376642,14.844425,124
119,Ire C,56.376642,14.844425,124
41,Ire D,56.376642,14.844425,124
118,Ire G,56.376642,14.844425,124
61,Ire E,56.376642,14.844425,124
120,Ire F,56.376642,14.844425,124
68,Karups angar,55.669502,13.551246,24
38,Krakenabben,56.0008103,14.718912,5
48,Kronovall A,55.641102,14.047781,126
82,Kronovall B,55.641102,14.047781,126
69,Kumlatofta,55.609421,13.618806,36
53,Kungsmarken A,55.4304,13.1617,33
52,Kungsmarken B,55.4304,13.1617,33
40,Kungsmarken C,55.4304,13.1617,33
19,Liarum A,55.954,13.847515,124
37,Liarum B,55.954,13.847515,124
80,Liarum C,55.954,13.847515,124
56,Lilla Horns,57.086669,16.911268,11
99,Lillo A,56.163202,15.78208,-1
124,Lillo B,56.163202,15.78208,-1
6,Linnebjar,56.317381,14.250082,97
116,Linnebjar B,56.317381,14.250082,97
112,Loddean,55.729821,12.996615,-3
121,Lummelunda,57.762588,18.460917,46
115,Lya ljunghed,59.585321,16.727049,27
15,Lybeck,59.529414,16.724513,34
1,Magnarod,55.733333,13.616667,111
46,Mallsjon,56.324311,15.315938,63
3,Maryd,57.908197,12.596203,107
77,Mastocka O,56.73618,13.271726,165
78,Mastocka V,56.7361800067936,13.271726,165
42,Misterfall A,58.161902,15.487688,184
62,Misterfall B,58.161902,15.487688,184
18,Mjalastro,55.868279,13.661904,114
34,Mocklo A,56.155348,15.767135,-1
106,O Mocklo B,56.148036,15.754016,2
27,O Skallo,56.115618,15.730762,6
28,Osternad,56.121314,15.766265,8
9,Ovedsgard,55.686106,13.636223,30
58,Palsbo,57.562066,13.912371,285
105,Rashult A,56.713649,14.184913,152
104,Rashult B,56.713649,14.184913,152
66,Rashult C,56.713649,14.184913,152
71,Resmo A,56.568443,16.449332,30
86,Resmo B,56.568443,16.449332,30
87,Resmo C,56.568443,16.449332,30
14,Ronnerum,56.758388,16.57599,51
97,Sandsjobacka,57.548786,12.055648,53
39,Sattra A,56.783744,16.697407,20
51,Sattra B,56.783744,16.697407,20
33,Senora Svano,56.106684,15.771878,2
44,Sillhovda,56.400805,15.549657,102
88,Skanor A,55.422938,12.840551,1
67,Skanor B,55.422938,12.840551,1
4,Skartofta,55.710415,13.659728,111
45,Skogshejdan,55.559148,13.870181,68
55,St. Greda,57.000025,16.861318,3
59,St. Lonnemala,56.429618,15.365932,112
20,Stavarod,56.014494,13.641007,98
64,Steneryd N,56.157208,15.841974,34
65,Steneryd S,56.157208,15.841974,34
70,Stora Barby A,58.669425,12.047415,114
85,Stora Barby B,58.669425,12.047415,114
98,Svaneholm,55.493716,13.495046,52
72,Tjusby,56.796298,16.737514,17
21,Tofrarod A,56.013008,13.642521,100
22,Toftarod B,56.013008,13.642521,100
10,Tolanga,55.639055,13.774779,60
32,Ungskar,56.050956,15.800258,1
35,Varo,57.227282,12.175138,10
31,Vieskar,56.066059,15.798949,0
100,Vinno,56.055516,14.087287,11
30,Vambasa,56.180773,15.470552,21
25,Yngligarum A,55.98429,13.6667532,103
26,Yngligarum B,55.98429,13.6667532,103
92,Yxnas A,57.330001,15.697148,131
94,Yxnas B,57.330001,15.697148,131
91,Yxnas C,57.330001,15.697148,131
95,Yxnas D,57.330001,15.697148,131
96,Yxnas E,57.330001,15.697148,131
90,Yxnas F,57.330001,15.697148,131
93,Yxnas G,57.330001,15.697148,131
